,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Allstar True
89,90,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,0.167,0.0,0.8,0.0,0.2,0.4,0.5,0.167,0.8,0.8,1.0,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2,0
90,91,Jordan Clarkson,SG,31,UTA,29,19,30.0,6.3,15.1,0.418,1.7,5.6,0.302,4.6,9.5,0.486,0.474,3.4,3.9,0.875,1.1,2.6,3.7,5.3,0.7,0.1,3.1,1.4,17.7,0
91,92,Nic Claxton,C,24,BRK,27,27,28.1,5.2,8.1,0.641,0.0,0.0,1.0,5.2,8.1,0.639,0.643,1.7,2.9,0.597,3.2,6.7,9.9,1.8,0.5,2.4,1.1,2.5,12.2,0
92,93,Noah Clowney,PF,19,BRK,2,0,13.5,3.0,4.5,0.667,0.0,0.5,0.0,3.0,4.0,0.75,0.667,1.0,1.0,1.0,1.5,1.0,2.5,1.0,0.0,0.0,0.5,1.5,7.0,0
93,94,Amir Coffey,SF,26,LAC,25,6,15.2,1.5,3.0,0.5,0.5,1.6,0.325,1.0,1.4,0.694,0.586,0.5,0.6,0.867,0.4,1.2,1.6,0.7,0.2,0.0,0.4,1.1,4.1,0
94,95,John Collins,PF,26,UTA,35,33,28.3,5.4,10.9,0.496,1.4,3.7,0.377,4.0,7.2,0.558,0.56,1.8,2.4,0.759,2.0,5.6,7.6,0.9,0.6,0.8,1.5,2.6,14.0,0
95,96,Zach Collins,C,26,SAS,31,23,26.1,4.9,10.0,0.495,1.1,3.5,0.312,3.8,6.5,0.595,0.55,2.0,2.5,0.792,1.9,4.1,6.0,3.3,0.6,0.8,2.3,3.4,12.9,0
96,97,Mike Conley,PG,36,MIN,36,36,29.3,3.8,8.2,0.458,2.4,5.2,0.455,1.4,3.0,0.463,0.602,1.3,1.4,0.941,0.3,2.4,2.7,6.3,1.0,0.1,1.1,1.7,11.2,0
97,98,Pat Connaughton,SF,31,MIL,31,0,21.9,2.0,4.6,0.424,1.2,3.4,0.356,0.8,1.3,0.6,0.552,0.4,0.5,0.706,0.7,2.8,3.5,1.8,0.5,0.2,0.6,1.2,5.5,0
98,99,Bilal Coulibaly,SF,19,WAS,36,1,26.5,3.1,6.4,0.478,1.1,2.7,0.392,2.0,3.7,0.541,0.561,1.1,1.8,0.641,0.8,3.4,4.3,1.8,0.9,0.8,1.4,2.1,8.3,0
99,100,Ricky Council IV,SG,22,PHI,1,0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,101,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,0.439,0.7,1.9,0.339,0.8,1.4,0.571,0.536,0.8,0.9,0.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,0
101,102,Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,0.424,1.1,2.8,0.382,1.1,2.3,0.476,0.529,0.7,0.9,0.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1,0
102,103,Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1.0,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1,0
103,104,Cade Cunningham,PG,22,DET,36,36,34.5,8.5,19.0,0.449,1.9,5.6,0.335,6.7,13.4,0.496,0.498,3.9,4.5,0.87,0.4,3.6,4.1,7.3,1.0,0.3,3.8,2.8,22.8,0
104,105,Seth Curry,SG,33,DAL,29,3,13.4,1.6,4.3,0.379,0.9,2.4,0.391,0.7,1.9,0.364,0.488,0.5,0.6,0.875,0.4,1.1,1.6,0.9,0.6,0.1,0.4,0.9,4.7,0
105,106,Stephen Curry,PG,35,GSW,35,35,33.2,8.4,18.8,0.447,4.5,11.3,0.398,3.9,7.5,0.521,0.567,5.4,5.9,0.922,0.5,3.7,4.2,4.7,0.8,0.4,3.1,1.8,26.7,1
106,107,Dyson Daniels,PG,20,NOP,38,13,22.7,2.3,5.4,0.434,0.7,2.4,0.297,1.6,3.0,0.544,0.5,0.8,1.2,0.659,0.9,2.9,3.8,2.7,1.4,0.3,0.9,1.7,6.2,0
107,108,Anthony Davis,C,30,LAL,36,36,36.2,9.7,17.3,0.562,0.4,1.1,0.359,9.3,16.2,0.576,0.573,5.9,7.3,0.809,3.2,9.0,12.2,3.4,1.2,2.6,2.2,2.6,25.7,1
108,109,Johnny Davis,SG,21,WAS,18,0,8.3,1.2,2.7,0.438,0.1,0.2,0.333,1.1,2.5,0.444,0.448,0.2,0.3,0.8,0.5,0.6,1.1,0.3,0.4,0.1,0.3,0.6,2.6,0
109,110,JD Davison,SG,21,BOS,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
110,111,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,0
111,112,DeMar DeRozan,SF,34,CHI,37,37,36.9,7.6,16.6,0.458,1.0,2.8,0.353,6.6,13.8,0.479,0.488,5.8,6.9,0.847,0.6,3.2,3.8,5.4,1.1,0.7,1.5,2.2,22.0,0
112,113,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,0.5,0.0,0.0,0.0,0.9,1.8,0.5,0.5,0.9,1.2,0.75,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7,0
113,114,Mamadi Diakite,PF,27,SAS,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
114,115,Gradey Dick,SG,20,TOR,19,1,12.4,1.1,3.6,0.294,0.6,2.3,0.25,0.5,1.3,0.375,0.375,0.8,0.8,1.0,0.4,0.8,1.2,0.8,0.3,0.0,0.6,1.3,3.5,0
115,116,Ousmane Dieng,PF,20,OKC,18,0,11.2,1.5,3.3,0.458,0.8,2.2,0.35,0.7,1.1,0.684,0.576,0.6,0.7,0.833,0.4,1.2,1.6,0.9,0.1,0.0,0.3,0.7,4.3,0
116,117,Spencer Dinwiddie,PG,30,BRK,35,35,31.4,4.4,11.3,0.39,2.0,6.2,0.318,2.5,5.1,0.478,0.477,2.9,3.8,0.774,0.7,3.2,3.8,6.3,0.8,0.2,1.6,1.7,13.8,0
